# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1305031910.765238 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000  1.000000
1305031910.797230 -0.012493  0.001688  0.002714  0.005393 -0.001891 -0.008547  0.999947
1305031910.835208 -0.018256 -0.003063  0.007692  0.005451 -0.008305 -0.014241  0.999849
1305031910.865025 -0.026627 -0.005276  0.011900  0.007006 -0.014800 -0.021662  0.999631
1305031910.897222 -0.029368 -0.009893  0.018174  0.006322 -0.025210 -0.030348  0.999201
1305031910.935211 -0.025804 -0.019551  0.028045  0.007402 -0.034051 -0.035827  0.998750
1305031910.965249 -0.044282 -0.021264  0.027991  0.013277 -0.034838 -0.040248  0.998494
1305031910.997325 -0.057738 -0.012831  0.029193  0.017171 -0.042464 -0.049500  0.997723
1305031911.035050 -0.067490 -0.020063  0.036050  0.013405 -0.053200 -0.058374  0.996786
1305031911.065269 -0.086220 -0.017140  0.040387  0.015061 -0.066410 -0.068866  0.995299
1305031911.097196 -0.089495 -0.022540  0.043995  0.012127 -0.086674 -0.080614  0.992896
1305031911.135664 -0.092024 -0.027731  0.048461  0.014478 -0.101729 -0.091913  0.990451
1305031911.165177 -0.102067 -0.025771  0.051920  0.019793 -0.113418 -0.099352  0.988369
1305031911.197213 -0.108097 -0.023014  0.056361  0.023226 -0.125630 -0.106216  0.986101
1305031911.235651 -0.117244 -0.028616  0.057738  0.023970 -0.136048 -0.113014  0.983943
1305031911.265104 -0.120400 -0.024399  0.063031  0.027706 -0.148381 -0.121833  0.981006
1305031911.297334 -0.127083 -0.028018  0.067051  0.027510 -0.157404 -0.128969  0.978690
1305031911.333191 -0.132915 -0.030922  0.070025  0.029558 -0.167422 -0.135048  0.976145
1305031911.365235 -0.132624 -0.033791  0.078146  0.032529 -0.176729 -0.141096  0.973551
1305031911.397333 -0.142289 -0.038735  0.079498  0.035714 -0.180415 -0.145764  0.972074
1305031911.433256 -0.151434 -0.035755  0.080599  0.040899 -0.186137 -0.148096  0.970437
1305031911.465250 -0.160544 -0.036345  0.082642  0.042519 -0.193466 -0.148216  0.968914
1305031911.497291 -0.172766 -0.038575  0.082788  0.043907 -0.203121 -0.148318  0.966859
1305031911.533251 -0.172762 -0.037743  0.090240  0.046910 -0.216590 -0.149304  0.963637
1305031911.565335 -0.181775 -0.045516  0.090332  0.046937 -0.224999 -0.148446  0.961840
1305031911.597302 -0.190661 -0.042938  0.093908  0.053756 -0.236844 -0.150478  0.958317
1305031911.633337 -0.185218 -0.032978  0.106862  0.061369 -0.251548 -0.157020  0.953049
